session_id,turn_index,request_id,profile,event,kv_incremental_mib,kv_cumulative_mib,resident_kv_mib_before,resident_kv_mib_after,restore_ms,recompute_ms,evicted_kv_mib,budget_hit
session_008,3,session_008_turn_003,kivi_4bit_residual32,resident,0.61865234375,4.38525390625,3.7666015625,4.38525390625,0.0,0.0,0.0,False
session_007,2,session_007_turn_002,kivi_4bit_residual32,resident,5.36962890625,14.480224609375,9.110595703125,14.480224609375,0.0,0.0,0.0,False
session_008,0,session_008_turn_000,kivi_4bit_residual32,resident,0.875,5.26025390625,4.38525390625,5.26025390625,0.0,0.0,0.0,False
session_009,0,session_009_turn_000,kivi_4bit_residual32,resident,3.443603515625,3.443603515625,0.0,3.443603515625,0.0,0.0,0.0,False
session_008,4,session_008_turn_004,kivi_4bit_residual32,resident,3.867431640625,9.127685546875,5.26025390625,9.127685546875,0.0,0.0,0.0,False
session_008,1,session_008_turn_001,kivi_4bit_residual32,resident,0.0,9.127685546875,9.127685546875,9.127685546875,0.0,0.0,0.0,False
session_010,1,session_010_turn_001,kivi_4bit_residual32,resident,8.276611328125,8.276611328125,0.0,8.276611328125,0.0,0.0,0.0,False
session_009,1,session_009_turn_001,kivi_4bit_residual32,resident,9.835205078125,13.27880859375,3.443603515625,13.27880859375,0.0,0.0,0.0,False
session_010,0,session_010_turn_000,kivi_4bit_residual32,resident,3.211181640625,11.48779296875,8.276611328125,11.48779296875,0.0,0.0,0.0,False
session_011,1,session_011_turn_001,kivi_4bit_residual32,resident,3.918701171875,3.918701171875,0.0,3.918701171875,0.0,0.0,0.0,False
session_010,2,session_010_turn_002,kivi_4bit_residual32,resident,0.0,11.48779296875,11.48779296875,11.48779296875,0.0,0.0,0.0,False
session_011,0,session_011_turn_000,kivi_4bit_residual32,resident,1.36376953125,5.282470703125,3.918701171875,5.282470703125,0.0,0.0,0.0,False
session_012,1,session_012_turn_001,kivi_4bit_residual32,resident,3.5068359375,3.5068359375,0.0,3.5068359375,0.0,0.0,0.0,False
session_010,3,session_010_turn_003,kivi_4bit_residual32,resident,3.915283203125,15.403076171875,11.48779296875,15.403076171875,0.0,0.0,0.0,False
session_012,0,session_012_turn_000,kivi_4bit_residual32,resident,1.421875,4.9287109375,3.5068359375,4.9287109375,0.0,0.0,0.0,False
session_012,2,session_012_turn_002,kivi_4bit_residual32,resident,2.343017578125,7.271728515625,4.9287109375,7.271728515625,0.0,0.0,0.0,False
session_011,2,session_011_turn_002,kivi_4bit_residual32,resident,4.284423828125,9.56689453125,5.282470703125,9.56689453125,0.0,0.0,0.0,False
session_014,0,session_014_turn_000,kivi_4bit_residual32,resident,2.48486328125,2.48486328125,0.0,2.48486328125,0.0,0.0,0.0,False
session_013,0,session_013_turn_000,kivi_4bit_residual32,resident,3.758056640625,3.758056640625,0.0,3.758056640625,0.0,0.0,0.0,False
session_011,3,session_011_turn_003,kivi_4bit_residual32,resident,3.1650390625,12.73193359375,9.56689453125,12.73193359375,0.0,0.0,0.0,False
session_015,0,session_015_turn_000,kivi_4bit_residual32,resident,1.4765625,1.4765625,0.0,1.4765625,0.0,0.0,0.0,False
session_014,1,session_014_turn_001,kivi_4bit_residual32,resident,2.40283203125,4.8876953125,2.48486328125,4.8876953125,0.0,0.0,0.0,False
session_015,1,session_015_turn_001,kivi_4bit_residual32,resident,9.534423828125,11.010986328125,1.4765625,11.010986328125,0.0,0.0,0.0,False
session_016,0,session_016_turn_000,kivi_4bit_residual32,resident,3.31884765625,3.31884765625,0.0,3.31884765625,0.0,0.0,0.0,False
session_014,2,session_014_turn_002,kivi_4bit_residual32,resident,4.267333984375,9.155029296875,4.8876953125,9.155029296875,0.0,0.0,0.0,False
session_016,1,session_016_turn_001,kivi_4bit_residual32,resident,13.061767578125,16.380615234375,3.31884765625,16.380615234375,0.0,0.0,0.0,False
session_017,0,session_017_turn_000,kivi_4bit_residual32,resident,1.93798828125,1.93798828125,0.0,1.93798828125,0.0,0.0,0.0,False
session_017,1,session_017_turn_001,kivi_4bit_residual32,resident,6.714599609375,8.652587890625,1.93798828125,8.652587890625,0.0,0.0,0.0,False
session_018,3,session_018_turn_003,kivi_4bit_residual32,resident,11.602294921875,11.602294921875,0.0,11.602294921875,0.0,0.0,0.0,False
session_018,0,session_018_turn_000,kivi_4bit_residual32,resident,0.984375,12.586669921875,11.602294921875,12.586669921875,0.0,0.0,0.0,False
session_018,1,session_018_turn_001,kivi_4bit_residual32,resident,0.0,12.586669921875,12.586669921875,12.586669921875,0.0,0.0,0.0,False
session_018,4,session_018_turn_004,kivi_4bit_residual32,resident,2.520751953125,15.107421875,12.586669921875,15.107421875,0.0,0.0,0.0,False
session_019,0,session_019_turn_000,kivi_4bit_residual32,resident,1.184326171875,1.184326171875,0.0,1.184326171875,0.0,0.0,0.0,False
session_018,2,session_018_turn_002,kivi_4bit_residual32,resident,0.0,15.107421875,15.107421875,15.107421875,0.0,0.0,0.0,False
session_019,2,session_019_turn_002,kivi_4bit_residual32,resident,8.078369140625,9.2626953125,1.184326171875,9.2626953125,0.0,0.0,0.0,False
session_020,0,session_020_turn_000,kivi_4bit_residual32,resident,1.184326171875,1.184326171875,0.0,1.184326171875,0.0,0.0,0.0,False
session_019,1,session_019_turn_001,kivi_4bit_residual32,resident,0.0,9.2626953125,9.2626953125,9.2626953125,0.0,0.0,0.0,False
session_019,3,session_019_turn_003,kivi_4bit_residual32,resident,3.433349609375,12.696044921875,9.2626953125,12.696044921875,0.0,0.0,0.0,False
session_021,0,session_021_turn_000,kivi_4bit_residual32,resident,1.184326171875,1.184326171875,0.0,1.184326171875,0.0,0.0,0.0,False
session_020,1,session_020_turn_001,kivi_4bit_residual32,resident,3.460693359375,4.64501953125,1.184326171875,4.64501953125,0.0,0.0,0.0,False
session_020,2,session_020_turn_002,kivi_4bit_residual32,resident,6.741943359375,11.386962890625,4.64501953125,11.386962890625,0.0,0.0,0.0,False
session_022,0,session_022_turn_000,kivi_4bit_residual32,resident,1.758544921875,1.758544921875,0.0,1.758544921875,0.0,0.0,0.0,False
session_021,1,session_021_turn_001,kivi_4bit_residual32,resident,5.208984375,6.393310546875,1.184326171875,6.393310546875,0.0,0.0,0.0,False
session_021,2,session_021_turn_002,kivi_4bit_residual32,resident,5.764404296875,12.15771484375,6.393310546875,12.15771484375,0.0,0.0,0.0,False
session_023,0,session_023_turn_000,kivi_4bit_residual32,resident,2.448974609375,2.448974609375,0.0,2.448974609375,0.0,0.0,0.0,False
session_023,1,session_023_turn_001,kivi_4bit_residual32,resident,3.72900390625,6.177978515625,2.448974609375,6.177978515625,0.0,0.0,0.0,False
session_022,1,session_022_turn_001,kivi_4bit_residual32,resident,11.188720703125,12.947265625,1.758544921875,12.947265625,0.0,0.0,0.0,False
session_024,0,session_024_turn_000,kivi_4bit_residual32,resident,2.045654296875,2.045654296875,0.0,2.045654296875,0.0,0.0,0.0,False
session_024,1,session_024_turn_001,kivi_4bit_residual32,resident,5.5849609375,7.630615234375,2.045654296875,7.630615234375,0.0,0.0,0.0,False
session_022,2,session_022_turn_002,kivi_4bit_residual32,resident,5.289306640625,18.236572265625,12.947265625,18.236572265625,0.0,0.0,0.0,False
session_025,0,session_025_turn_000,kivi_4bit_residual32,resident,1.399658203125,1.399658203125,0.0,1.399658203125,0.0,0.0,0.0,False
session_026,1,session_026_turn_001,kivi_4bit_residual32,resident,5.90966796875,5.90966796875,0.0,5.90966796875,0.0,0.0,0.0,False
session_023,2,session_023_turn_002,kivi_4bit_residual32,resident,3.200927734375,9.37890625,6.177978515625,9.37890625,0.0,0.0,0.0,False
session_026,0,session_026_turn_000,kivi_4bit_residual32,resident,1.421875,7.33154296875,5.90966796875,7.33154296875,0.0,0.0,0.0,False
session_027,2,session_027_turn_002,kivi_4bit_residual32,resident,3.98193359375,3.98193359375,0.0,3.98193359375,0.0,0.0,0.0,False
session_023,3,session_023_turn_003,kivi_4bit_residual32,resident,3.388916015625,12.767822265625,9.37890625,12.767822265625,0.0,0.0,0.0,False
session_027,0,session_027_turn_000,kivi_4bit_residual32,resident,1.1484375,5.13037109375,3.98193359375,5.13037109375,0.0,0.0,0.0,False
session_027,3,session_027_turn_003,kivi_4bit_residual32,resident,2.2763671875,7.40673828125,5.13037109375,7.40673828125,0.0,0.0,0.0,False
session_024,2,session_024_turn_002,kivi_4bit_residual32,resident,5.073974609375,12.70458984375,7.630615234375,12.70458984375,0.0,0.0,0.0,False
session_027,1,session_027_turn_001,kivi_4bit_residual32,resident,0.0,7.40673828125,7.40673828125,7.40673828125,0.0,0.0,0.0,False
session_027,4,session_027_turn_004,kivi_4bit_residual32,resident,1.42529296875,8.83203125,7.40673828125,8.83203125,0.0,0.0,0.0,False
session_026,2,session_026_turn_002,kivi_4bit_residual32,resident,2.961669921875,10.293212890625,7.33154296875,10.293212890625,0.0,0.0,0.0,False
session_029,0,session_029_turn_000,kivi_4bit_residual32,resident,1.5791015625,1.5791015625,0.0,1.5791015625,0.0,0.0,0.0,False
session_028,0,session_028_turn_000,kivi_4bit_residual32,resident,6.635986328125,6.635986328125,0.0,6.635986328125,0.0,0.0,0.0,False
session_027,5,session_027_turn_005,kivi_4bit_residual32,resident,2.68994140625,11.52197265625,8.83203125,11.52197265625,0.0,0.0,0.0,False
session_030,0,session_030_turn_000,kivi_4bit_residual32,resident,1.3671875,1.3671875,0.0,1.3671875,0.0,0.0,0.0,False
session_029,1,session_029_turn_001,kivi_4bit_residual32,resident,4.44677734375,6.02587890625,1.5791015625,6.02587890625,0.0,0.0,0.0,False
session_028,1,session_028_turn_001,kivi_4bit_residual32,resident,8.22021484375,14.856201171875,6.635986328125,14.856201171875,0.0,0.0,0.0,False
session_031,0,session_031_turn_000,kivi_4bit_residual32,resident,1.3671875,1.3671875,0.0,1.3671875,0.0,0.0,0.0,False
session_030,1,session_030_turn_001,kivi_4bit_residual32,resident,5.20556640625,6.57275390625,1.3671875,6.57275390625,0.0,0.0,0.0,False
session_029,2,session_029_turn_002,kivi_4bit_residual32,resident,5.13720703125,11.1630859375,6.02587890625,11.1630859375,0.0,0.0,0.0,False
session_033,0,session_033_turn_000,kivi_4bit_residual32,resident,1.184326171875,1.184326171875,0.0,1.184326171875,0.0,0.0,0.0,False
session_031,1,session_031_turn_001,kivi_4bit_residual32,resident,1.8798828125,3.2470703125,1.3671875,3.2470703125,0.0,0.0,0.0,False
session_029,3,session_029_turn_003,kivi_4bit_residual32,resident,5.755859375,16.9189453125,11.1630859375,16.9189453125,0.0,0.0,0.0,False
session_034,0,session_034_turn_000,kivi_4bit_residual32,resident,1.2578125,1.2578125,0.0,1.2578125,0.0,0.0,0.0,False
session_031,2,session_031_turn_002,kivi_4bit_residual32,resident,4.7783203125,8.025390625,3.2470703125,8.025390625,0.0,0.0,0.0,False
session_030,2,session_030_turn_002,kivi_4bit_residual32,resident,3.541015625,10.11376953125,6.57275390625,10.11376953125,0.0,0.0,0.0,False
session_034,1,session_034_turn_001,kivi_4bit_residual32,resident,1.047607421875,2.305419921875,1.2578125,2.305419921875,0.0,0.0,0.0,False
