policy,memory_budget_mib,epsilon,delta,count,ok_count,session_count,budget_hit_count,budget_hit_rate,restore_count,restore_time_ms_total,recompute_count,recompute_time_ms_total,queue_event_count,queue_delay_ms_mean,evict_event_count,session_reuse_evidence,backend_event_evidence
static_safe,50.0,0.05,0.1,65.0,63.0,13.0,16.0,0.24615384615384617,0.0,0,31.0,94273.69938541763,1.0,0.0009511690873366136,18.0,True,True
uncalibrated_dynamic,50.0,0.05,0.1,65.0,17.0,13.0,0.0,0.0,0.0,0,1.0,41721.295706059784,0.0,0.0,3.0,True,True
utility_dynamic,50.0,0.05,0.1,65.0,61.0,13.0,0.0,0.0,0.0,0,39.0,264545.5574663654,0.0,0.0,8.0,True,True
full_lru,50.0,0.1,0.05,65.0,65.0,13.0,38.0,0.5846153846153846,0.0,0,39.0,5596.070750616491,0.0,0.0,38.0,True,True
static_best,50.0,0.1,0.05,65.0,63.0,13.0,17.0,0.26153846153846155,0.0,0,31.0,88853.95434788615,0.0,0.0,19.0,True,True
static_safe,50.0,0.1,0.05,65.0,63.0,13.0,17.0,0.26153846153846155,0.0,0,31.0,92831.69911523536,3.0,0.0015553511106050932,19.0,True,True
uncalibrated_dynamic,50.0,0.1,0.05,65.0,17.0,13.0,0.0,0.0,0.0,0,1.0,39969.8904097639,0.0,0.0,3.0,True,True
utility_dynamic,50.0,0.1,0.05,65.0,61.0,13.0,0.0,0.0,0.0,0,39.0,260863.714161342,1.0,0.000170395022532979,8.0,True,True
full_lru,50.0,0.1,0.1,65.0,65.0,13.0,38.0,0.5846153846153846,0.0,0,39.0,5679.7630751971155,0.0,0.0,38.0,True,True
static_best,50.0,0.1,0.1,65.0,63.0,13.0,17.0,0.26153846153846155,0.0,0,31.0,95809.35682970472,0.0,0.0,19.0,True,True
static_safe,50.0,0.1,0.1,65.0,63.0,13.0,17.0,0.26153846153846155,0.0,0,31.0,88518.3454367537,0.0,0.0,19.0,True,True
uncalibrated_dynamic,50.0,0.1,0.1,65.0,17.0,13.0,0.0,0.0,0.0,0,1.0,43461.79421593808,0.0,0.0,3.0,True,True
utility_dynamic,50.0,0.1,0.1,65.0,61.0,13.0,0.0,0.0,0.0,0,39.0,264795.9645314943,0.0,0.0,8.0,True,True
full_lru,64.0,0.05,0.05,65.0,65.0,13.0,38.0,0.5846153846153846,0.0,0,37.0,5114.587092772126,0.0,0.0,38.0,True,True
static_best,64.0,0.05,0.05,65.0,64.0,13.0,19.0,0.2923076923076923,0.0,0,25.0,50146.023897780105,0.0,0.0,20.0,True,True
static_safe,64.0,0.05,0.05,65.0,64.0,13.0,19.0,0.2923076923076923,0.0,0,25.0,49610.660922288895,0.0,0.0,20.0,True,True
uncalibrated_dynamic,64.0,0.05,0.05,65.0,62.0,13.0,0.0,0.0,0.0,0,37.0,315692.5478736367,1.0,0.00039503266734461633,9.0,True,True
utility_dynamic,64.0,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,22.0,177526.1327855494,0.0,0.0,4.0,True,True
full_lru,64.0,0.05,0.1,65.0,65.0,13.0,38.0,0.5846153846153846,0.0,0,37.0,5135.402101324871,0.0,0.0,38.0,True,True
static_best,64.0,0.05,0.1,65.0,64.0,13.0,19.0,0.2923076923076923,0.0,0,25.0,50289.76391112432,0.0,0.0,20.0,True,True
static_safe,64.0,0.05,0.1,65.0,64.0,13.0,19.0,0.2923076923076923,0.0,0,25.0,49614.653569890186,0.0,0.0,20.0,True,True
uncalibrated_dynamic,64.0,0.05,0.1,65.0,62.0,13.0,0.0,0.0,0.0,0,37.0,361222.9287434332,0.0,0.0,10.0,True,True
