action_profile,audit_rate,backend_name,budget_hit,candidate_safe_count,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,delta,drift_state,epsilon,error,evicted_kv_mib,exact,fallback_reason,kv_cache_memory_mib,kv_cumulative_mib,kv_incremental_mib,latency_ms,length_bucket,measured,ok,optimality_gap,oracle,oracle_cost_ms,peak_memory_mib,placeholder,policy,pred_loss,quality_loss,reason,recompute_ms,rejected_pred_loss,rejected_profile,rejected_risk_upper,request_id,resident_kv_mib_after,resident_kv_mib_before,resident_memory_mib,restore_ms,risk_upper,safe,session_id,task,ttft_ms,turn_index
full_gpu,,measured_replay,False,,,,,,,,,,,True,,0.875,,,552.7133047580719,short,True,True,,False,,6594.7080078125,False,full_lru,,0.0,full precision exact profile,,,,,session_051_turn_000,,,8195.8203125,,,,session_051,chat,33.76096114516258,0
full_gpu,,measured_replay,False,,,,,,,,,,,True,,11.3203125,,,592.119213193655,medium,True,True,,False,,6715.84765625,False,full_lru,,0.0,full precision exact profile,,,,,session_051_turn_001,,,8155.28125,,,,session_051,chat,96.08647972345352,1
full_gpu,,measured_replay,False,,,,,,,,,,,True,,42.0,,,859.2661209404469,long,True,True,,False,,7075.7392578125,False,full_lru,,0.0,full precision exact profile,,,,,session_051_turn_002,,,8175.26953125,,,,session_051,chat,322.2592622041702,2
full_gpu,,measured_replay,False,,,,,,,,,,,True,,3.28125,,,553.6768548190594,short,True,True,,False,,6621.5791015625,False,full_lru,,0.0,full precision exact profile,,,,,session_052_turn_000,,,8195.8203125,,,,session_052,chat,55.68341165781021,0
full_gpu,,measured_replay,False,,,,,,,,,,,True,,18.921875,,,2615.806680172682,medium,True,True,,False,,6804.9990234375,False,full_lru,,0.0,full precision exact profile,,,,,session_052_turn_001,,,8196.48828125,,,,session_052,chat,2034.6498638391495,1
full_gpu,,measured_replay,False,,,,,,,,,,,True,,31.2265625,,,791.1359593272209,long,True,True,,False,,6949.0693359375,False,full_lru,,0.0,full precision exact profile,,,,,session_052_turn_002,,,8175.26953125,,,,session_052,chat,259.2719793319702,2
full_gpu,,measured_replay,False,,,,,,,,,,,True,,7.21875,,,594.3637974560261,short,True,True,,False,,6667.4365234375,False,full_lru,,0.0,full precision exact profile,,,,,session_053_turn_000,,,8175.26953125,,,,session_053,chat,70.29943913221359,0
full_gpu,,measured_replay,False,,,,,,,,,,,True,,48.125,,,2812.153533101082,long,True,True,,False,,7146.9599609375,False,full_lru,,0.0,full precision exact profile,,,,,session_053_turn_001,,,8135.0,,,,session_053,chat,2288.7370362877846,1
full_gpu,,measured_replay,False,,,,,,,,,,,True,,1.203125,,,593.6430990695953,short,True,True,,False,,6597.8291015625,False,full_lru,,0.0,full precision exact profile,,,,,session_054_turn_000,,,8175.26953125,,,,session_054,chat,39.15172442793846,0
full_gpu,,measured_replay,False,,,,,,,,,,,True,,20.234375,,,718.4195257723331,medium,True,True,,False,,6820.0458984375,False,full_lru,,0.0,full precision exact profile,,,,,session_054_turn_001,,,8196.48828125,,,,session_054,chat,166.12864658236504,1
full_gpu,,measured_replay,False,,,,,,,,,,,True,,41.5078125,,,859.9950596690178,long,True,True,,False,,7070.03515625,False,full_lru,,0.0,full precision exact profile,,,,,session_054_turn_002,,,8135.0,,,,session_054,chat,324.95156675577164,2
full_gpu,,measured_replay,False,,,,,,,,,,,True,,0.9296875,,,555.8374561369419,short,True,True,,False,,6595.0439453125,False,full_lru,,0.0,full precision exact profile,,,,,session_055_turn_000,,,8175.26953125,,,,session_055,chat,36.5104004740715,0
